	textid	text	pair	target
627	627	The judges saw the lawyers .	The lawyers saw the judges .	non-entailment
628	628	The secretaries thanked the scientists .	The scientists thanked the secretaries .	non-entailment
629	629	The senators thanked the doctor .	The doctor thanked the senators .	non-entailment
630	630	The senator introduced the manager .	The manager introduced the senator .	non-entailment
631	631	The doctors believed the judges .	The judges believed the doctors .	non-entailment
632	632	The artist called the authors .	The authors called the artist .	non-entailment
633	633	The tourists believed the managers .	The managers believed the tourists .	non-entailment
634	634	The students contacted the senators .	The senators contacted the students .	non-entailment
635	635	The lawyers mentioned the actors .	The actors mentioned the lawyers .	non-entailment
636	636	The scientists advised the actors .	The actors advised the scientists .	non-entailment
637	637	The doctor supported the secretaries .	The secretaries supported the doctor .	non-entailment
638	638	The tourist encouraged the president .	The president encouraged the tourist .	non-entailment
639	639	The presidents supported the tourist .	The tourist supported the presidents .	non-entailment
640	640	The secretaries introduced the judge .	The judge introduced the secretaries .	non-entailment
641	641	The athletes thanked the secretary .	The secretary thanked the athletes .	non-entailment
642	642	The presidents recommended the lawyer .	The lawyer recommended the presidents .	non-entailment
643	643	The senator recognized the author .	The author recognized the senator .	non-entailment
644	644	The lawyer saw the secretary .	The secretary saw the lawyer .	non-entailment
645	645	The judges thanked the actor .	The actor thanked the judges .	non-entailment
646	646	The artists believed the actors .	The actors believed the artists .	non-entailment
647	647	The senators mentioned the banker .	The banker mentioned the senators .	non-entailment
648	648	The judge recognized the managers .	The managers recognized the judge .	non-entailment
649	649	The lawyer stopped the presidents .	The presidents stopped the lawyer .	non-entailment
650	650	The scientist believed the professors .	The professors believed the scientist .	non-entailment
651	651	The bankers recognized the secretaries .	The secretaries recognized the bankers .	non-entailment
652	652	The doctors introduced the managers .	The managers introduced the doctors .	non-entailment
653	653	The tourist contacted the secretaries .	The secretaries contacted the tourist .	non-entailment
654	654	The actor helped the student .	The student helped the actor .	non-entailment
655	655	The secretary called the authors .	The authors called the secretary .	non-entailment
656	656	The secretaries introduced the tourist .	The tourist introduced the secretaries .	non-entailment
657	657	The lawyers avoided the professor .	The professor avoided the lawyers .	non-entailment
658	658	The lawyer called the banker .	The banker called the lawyer .	non-entailment
659	659	The judge avoided the actors .	The actors avoided the judge .	non-entailment
660	660	The senators encouraged the lawyers .	The lawyers encouraged the senators .	non-entailment
661	661	The student saw the bankers .	The bankers saw the student .	non-entailment
662	662	The student avoided the doctors .	The doctors avoided the student .	non-entailment
663	663	The secretary supported the judges .	The judges supported the secretary .	non-entailment
664	664	The senator mentioned the banker .	The banker mentioned the senator .	non-entailment
665	665	The author recommended the lawyer .	The lawyer recommended the author .	non-entailment
666	666	The professors contacted the doctor .	The doctor contacted the professors .	non-entailment
667	667	The presidents believed the doctor .	The doctor believed the presidents .	non-entailment
668	668	The secretaries admired the author .	The author admired the secretaries .	non-entailment
669	669	The lawyer admired the bankers .	The bankers admired the lawyer .	non-entailment
670	670	The judge encouraged the banker .	The banker encouraged the judge .	non-entailment
671	671	The professor called the managers .	The managers called the professor .	non-entailment
672	672	The senator saw the artists .	The artists saw the senator .	non-entailment
673	673	The presidents saw the student .	The student saw the presidents .	non-entailment
674	674	The actors encouraged the senators .	The senators encouraged the actors .	non-entailment
675	675	The senator admired the scientists .	The scientists admired the senator .	non-entailment
676	676	The tourists thanked the author .	The author thanked the tourists .	non-entailment
677	677	The presidents admired the student .	The student admired the presidents .	non-entailment
678	678	The athlete helped the secretaries .	The secretaries helped the athlete .	non-entailment
679	679	The presidents thanked the scientists .	The scientists thanked the presidents .	non-entailment
680	680	The senator believed the tourists .	The tourists believed the senator .	non-entailment
681	681	The senators believed the secretaries .	The secretaries believed the senators .	non-entailment
682	682	The doctor contacted the athlete .	The athlete contacted the doctor .	non-entailment
683	683	The actor encouraged the tourist .	The tourist encouraged the actor .	non-entailment
684	684	The students supported the professor .	The professor supported the students .	non-entailment
685	685	The presidents advised the athletes .	The athletes advised the presidents .	non-entailment
686	686	The tourists encouraged the author .	The author encouraged the tourists .	non-entailment
687	687	The presidents believed the managers .	The managers believed the presidents .	non-entailment
688	688	The senator recognized the athlete .	The athlete recognized the senator .	non-entailment
689	689	The senators mentioned the managers .	The managers mentioned the senators .	non-entailment
690	690	The artists admired the managers .	The managers admired the artists .	non-entailment
691	691	The tourists recognized the judge .	The judge recognized the tourists .	non-entailment
692	692	The secretary saw the author .	The author saw the secretary .	non-entailment
693	693	The author mentioned the presidents .	The presidents mentioned the author .	non-entailment
694	694	The secretary mentioned the presidents .	The presidents mentioned the secretary .	non-entailment
695	695	The manager believed the actor .	The actor believed the manager .	non-entailment
696	696	The actors believed the president .	The president believed the actors .	non-entailment
697	697	The managers avoided the senator .	The senator avoided the managers .	non-entailment
698	698	The doctor mentioned the manager .	The manager mentioned the doctor .	non-entailment
699	699	The presidents recommended the students .	The students recommended the presidents .	non-entailment
700	700	The lawyers encouraged the scientists .	The scientists encouraged the lawyers .	non-entailment
701	701	The athletes advised the tourists .	The tourists advised the athletes .	non-entailment
702	702	The scientist helped the doctor .	The doctor helped the scientist .	non-entailment
703	703	The author admired the banker .	The banker admired the author .	non-entailment
704	704	The athletes admired the president .	The president admired the athletes .	non-entailment
705	705	The student stopped the artist .	The artist stopped the student .	non-entailment
706	706	The athletes called the doctor .	The doctor called the athletes .	non-entailment
707	707	The scientists called the lawyers .	The lawyers called the scientists .	non-entailment
708	708	The student supported the manager .	The manager supported the student .	non-entailment
709	709	The tourists thanked the bankers .	The bankers thanked the tourists .	non-entailment
710	710	The senators recommended the tourists .	The tourists recommended the senators .	non-entailment
711	711	The scientists encouraged the bankers .	The bankers encouraged the scientists .	non-entailment
712	712	The president advised the authors .	The authors advised the president .	non-entailment
713	713	The secretary admired the athlete .	The athlete admired the secretary .	non-entailment
714	714	The actors supported the judge .	The judge supported the actors .	non-entailment
715	715	The judges avoided the artists .	The artists avoided the judges .	non-entailment
716	716	The doctor mentioned the managers .	The managers mentioned the doctor .	non-entailment
717	717	The banker called the lawyer .	The lawyer called the banker .	non-entailment
718	718	The student thanked the judges .	The judges thanked the student .	non-entailment
719	719	The professor thanked the artist .	The artist thanked the professor .	non-entailment
720	720	The president believed the judges .	The judges believed the president .	non-entailment
721	721	The secretaries encouraged the artists .	The artists encouraged the secretaries .	non-entailment
722	722	The senator believed the actor .	The actor believed the senator .	non-entailment
723	723	The lawyer mentioned the professor .	The professor mentioned the lawyer .	non-entailment
724	724	The professors supported the scientists .	The scientists supported the professors .	non-entailment
725	725	The senators advised the manager .	The manager advised the senators .	non-entailment
726	726	The senators avoided the lawyers .	The lawyers avoided the senators .	non-entailment
727	727	The tourist admired the actor .	The actor admired the tourist .	non-entailment
728	728	The actor encouraged the judge .	The judge encouraged the actor .	non-entailment
729	729	The judge encouraged the senators .	The senators encouraged the judge .	non-entailment
730	730	The authors mentioned the professors .	The professors mentioned the authors .	non-entailment
731	731	The senator admired the actor .	The actor admired the senator .	non-entailment
732	732	The managers supported the student .	The student supported the managers .	non-entailment
733	733	The artist saw the athlete .	The athlete saw the artist .	non-entailment
734	734	The senators saw the student .	The student saw the senators .	non-entailment
735	735	The doctor recommended the senator .	The senator recommended the doctor .	non-entailment
736	736	The judges mentioned the tourist .	The tourist mentioned the judges .	non-entailment
737	737	The athletes thanked the presidents .	The presidents thanked the athletes .	non-entailment
738	738	The bankers mentioned the senator .	The senator mentioned the bankers .	non-entailment
739	739	The secretary recommended the athlete .	The athlete recommended the secretary .	non-entailment
740	740	The actors thanked the professor .	The professor thanked the actors .	non-entailment
741	741	The lawyers introduced the judge .	The judge introduced the lawyers .	non-entailment
742	742	The managers supported the banker .	The banker supported the managers .	non-entailment
743	743	The students recognized the president .	The president recognized the students .	non-entailment
744	744	The lawyer stopped the student .	The student stopped the lawyer .	non-entailment
745	745	The author saw the professors .	The professors saw the author .	non-entailment
746	746	The presidents stopped the professors .	The professors stopped the presidents .	non-entailment
747	747	The artist contacted the tourists .	The tourists contacted the artist .	non-entailment
748	748	The scientist recommended the banker .	The banker recommended the scientist .	non-entailment
749	749	The tourist introduced the manager .	The manager introduced the tourist .	non-entailment
750	750	The authors helped the athletes .	The athletes helped the authors .	non-entailment
751	751	The doctors advised the judge .	The judge advised the doctors .	non-entailment
752	752	The actors advised the doctors .	The doctors advised the actors .	non-entailment
753	753	The senator helped the judges .	The judges helped the senator .	non-entailment
754	754	The banker avoided the author .	The author avoided the banker .	non-entailment
755	755	The presidents recognized the secretary .	The secretary recognized the presidents .	non-entailment
756	756	The banker recognized the lawyers .	The lawyers recognized the banker .	non-entailment
757	757	The actor contacted the artists .	The artists contacted the actor .	non-entailment
758	758	The athlete recommended the actor .	The actor recommended the athlete .	non-entailment
759	759	The secretary recommended the actor .	The actor recommended the secretary .	non-entailment
760	760	The secretaries admired the lawyers .	The lawyers admired the secretaries .	non-entailment
761	761	The artists introduced the professor .	The professor introduced the artists .	non-entailment
762	762	The senators contacted the athlete .	The athlete contacted the senators .	non-entailment
763	763	The artist introduced the doctors .	The doctors introduced the artist .	non-entailment
764	764	The tourists supported the students .	The students supported the tourists .	non-entailment
765	765	The secretaries admired the manager .	The manager admired the secretaries .	non-entailment
766	766	The doctors thanked the scientists .	The scientists thanked the doctors .	non-entailment
767	767	The manager supported the athlete .	The athlete supported the manager .	non-entailment
768	768	The professor introduced the managers .	The managers introduced the professor .	non-entailment
769	769	The professor mentioned the author .	The author mentioned the professor .	non-entailment
770	770	The artists stopped the athletes .	The athletes stopped the artists .	non-entailment
771	771	The scientists stopped the doctors .	The doctors stopped the scientists .	non-entailment
772	772	The tourist mentioned the presidents .	The presidents mentioned the tourist .	non-entailment
773	773	The doctor thanked the actors .	The actors thanked the doctor .	non-entailment
774	774	The student advised the doctor .	The doctor advised the student .	non-entailment
775	775	The banker helped the tourists .	The tourists helped the banker .	non-entailment
776	776	The presidents mentioned the professors .	The professors mentioned the presidents .	non-entailment
777	777	The lawyer admired the secretaries .	The secretaries admired the lawyer .	non-entailment
778	778	The lawyers called the tourist .	The tourist called the lawyers .	non-entailment
779	779	The judge avoided the secretary .	The secretary avoided the judge .	non-entailment
780	780	The professor saw the authors .	The authors saw the professor .	non-entailment
781	781	The managers believed the judges .	The judges believed the managers .	non-entailment
782	782	The students saw the managers .	The managers saw the students .	non-entailment
783	783	The secretaries introduced the presidents .	The presidents introduced the secretaries .	non-entailment
784	784	The professor mentioned the scientists .	The scientists mentioned the professor .	non-entailment
785	785	The doctors admired the bankers .	The bankers admired the doctors .	non-entailment
786	786	The authors believed the secretary .	The secretary believed the authors .	non-entailment
787	787	The student introduced the manager .	The manager introduced the student .	non-entailment
788	788	The actors recommended the lawyer .	The lawyer recommended the actors .	non-entailment
789	789	The manager believed the scientists .	The scientists believed the manager .	non-entailment
790	790	The actors introduced the president .	The president introduced the actors .	non-entailment
791	791	The judges admired the managers .	The managers admired the judges .	non-entailment
792	792	The students saw the scientists .	The scientists saw the students .	non-entailment
793	793	The scientist believed the doctors .	The doctors believed the scientist .	non-entailment
794	794	The lawyer introduced the athlete .	The athlete introduced the lawyer .	non-entailment
795	795	The athletes admired the students .	The students admired the athletes .	non-entailment
796	796	The secretaries advised the doctors .	The doctors advised the secretaries .	non-entailment
797	797	The athlete introduced the tourists .	The tourists introduced the athlete .	non-entailment
798	798	The senator thanked the scientist .	The scientist thanked the senator .	non-entailment
799	799	The artists avoided the professor .	The professor avoided the artists .	non-entailment
800	800	The presidents thanked the lawyers .	The lawyers thanked the presidents .	non-entailment
801	801	The managers saw the senator .	The senator saw the managers .	non-entailment
802	802	The lawyer recognized the athlete .	The athlete recognized the lawyer .	non-entailment
803	803	The judges recognized the actor .	The actor recognized the judges .	non-entailment
804	804	The student advised the judges .	The judges advised the student .	non-entailment
805	805	The student recognized the artists .	The artists recognized the student .	non-entailment
806	806	The senator recognized the actor .	The actor recognized the senator .	non-entailment
807	807	The doctors introduced the student .	The student introduced the doctors .	non-entailment
808	808	The doctors stopped the scientists .	The scientists stopped the doctors .	non-entailment
809	809	The professor recognized the student .	The student recognized the professor .	non-entailment
810	810	The artists saw the judges .	The judges saw the artists .	non-entailment
811	811	The students encouraged the secretaries .	The secretaries encouraged the students .	non-entailment
812	812	The artist helped the authors .	The authors helped the artist .	non-entailment
813	813	The bankers avoided the student .	The student avoided the bankers .	non-entailment
814	814	The bankers helped the president .	The president helped the bankers .	non-entailment
815	815	The president helped the actor .	The actor helped the president .	non-entailment
816	816	The lawyers introduced the bankers .	The bankers introduced the lawyers .	non-entailment
817	817	The scientists believed the senator .	The senator believed the scientists .	non-entailment
818	818	The judge recognized the athlete .	The athlete recognized the judge .	non-entailment
819	819	The student saw the manager .	The manager saw the student .	non-entailment
820	820	The authors avoided the lawyer .	The lawyer avoided the authors .	non-entailment
821	821	The tourist avoided the actor .	The actor avoided the tourist .	non-entailment
822	822	The students stopped the author .	The author stopped the students .	non-entailment
823	823	The judge advised the scientist .	The scientist advised the judge .	non-entailment
824	824	The artist thanked the presidents .	The presidents thanked the artist .	non-entailment
825	825	The professors saw the judges .	The judges saw the professors .	non-entailment
826	826	The artists stopped the students .	The students stopped the artists .	non-entailment
827	827	The authors saw the president .	The president saw the authors .	non-entailment
828	828	The lawyer advised the tourist .	The tourist advised the lawyer .	non-entailment
829	829	The presidents saw the managers .	The managers saw the presidents .	non-entailment
830	830	The lawyers called the bankers .	The bankers called the lawyers .	non-entailment
831	831	The authors recommended the senators .	The senators recommended the authors .	non-entailment
832	832	The doctors supported the athletes .	The athletes supported the doctors .	non-entailment
833	833	The tourist called the scientist .	The scientist called the tourist .	non-entailment
834	834	The artist called the scientists .	The scientists called the artist .	non-entailment
835	835	The senators recommended the president .	The president recommended the senators .	non-entailment
836	836	The scientist mentioned the senators .	The senators mentioned the scientist .	non-entailment
837	837	The manager believed the doctors .	The doctors believed the manager .	non-entailment
838	838	The tourists called the judges .	The judges called the tourists .	non-entailment
839	839	The secretaries encouraged the professor .	The professor encouraged the secretaries .	non-entailment
840	840	The actor introduced the senators .	The senators introduced the actor .	non-entailment
841	841	The judges recognized the scientist .	The scientist recognized the judges .	non-entailment
842	842	The athlete believed the students .	The students believed the athlete .	non-entailment
843	843	The artists helped the author .	The author helped the artists .	non-entailment
844	844	The student mentioned the authors .	The authors mentioned the student .	non-entailment
845	845	The presidents advised the judges .	The judges advised the presidents .	non-entailment
846	846	The athletes encouraged the banker .	The banker encouraged the athletes .	non-entailment
847	847	The artist saw the judges .	The judges saw the artist .	non-entailment
848	848	The actors advised the professors .	The professors advised the actors .	non-entailment
849	849	The author recommended the secretaries .	The secretaries recommended the author .	non-entailment
850	850	The secretary recognized the senators .	The senators recognized the secretary .	non-entailment
851	851	The authors encouraged the manager .	The manager encouraged the authors .	non-entailment
852	852	The senator believed the artist .	The artist believed the senator .	non-entailment
853	853	The lawyers avoided the presidents .	The presidents avoided the lawyers .	non-entailment
854	854	The author admired the scientists .	The scientists admired the author .	non-entailment
855	855	The secretary admired the student .	The student admired the secretary .	non-entailment
856	856	The student advised the lawyer .	The lawyer advised the student .	non-entailment
857	857	The artist called the secretaries .	The secretaries called the artist .	non-entailment
858	858	The professor stopped the tourists .	The tourists stopped the professor .	non-entailment
859	859	The athletes mentioned the senators .	The senators mentioned the athletes .	non-entailment
860	860	The doctors thanked the secretaries .	The secretaries thanked the doctors .	non-entailment
861	861	The managers admired the lawyers .	The lawyers admired the managers .	non-entailment
862	862	The senator admired the tourists .	The tourists admired the senator .	non-entailment
863	863	The doctors avoided the secretaries .	The secretaries avoided the doctors .	non-entailment
864	864	The doctors encouraged the authors .	The authors encouraged the doctors .	non-entailment
865	865	The judge called the manager .	The manager called the judge .	non-entailment
866	866	The banker thanked the professor .	The professor thanked the banker .	non-entailment
867	867	The author supported the scientist .	The scientist supported the author .	non-entailment
868	868	The artist avoided the senator .	The senator avoided the artist .	non-entailment
869	869	The tourist saw the actor .	The actor saw the tourist .	non-entailment
870	870	The athlete mentioned the secretary .	The secretary mentioned the athlete .	non-entailment
871	871	The doctors helped the students .	The students helped the doctors .	non-entailment
872	872	The student introduced the judge .	The judge introduced the student .	non-entailment
873	873	The student advised the presidents .	The presidents advised the student .	non-entailment
874	874	The doctor advised the secretary .	The secretary advised the doctor .	non-entailment
875	875	The professor helped the manager .	The manager helped the professor .	non-entailment
876	876	The lawyer believed the scientists .	The scientists believed the lawyer .	non-entailment
877	877	The banker stopped the secretary .	The secretary stopped the banker .	non-entailment
878	878	The tourist mentioned the secretary .	The secretary mentioned the tourist .	non-entailment
879	879	The lawyers recommended the tourist .	The tourist recommended the lawyers .	non-entailment
880	880	The tourists recommended the banker .	The banker recommended the tourists .	non-entailment
881	881	The artists contacted the bankers .	The bankers contacted the artists .	non-entailment
882	882	The managers supported the president .	The president supported the managers .	non-entailment
883	883	The judge thanked the professors .	The professors thanked the judge .	non-entailment
884	884	The secretary admired the president .	The president admired the secretary .	non-entailment
885	885	The actor recommended the athlete .	The athlete recommended the actor .	non-entailment
886	886	The student advised the actors .	The actors advised the student .	non-entailment
887	887	The banker encouraged the athlete .	The athlete encouraged the banker .	non-entailment
888	888	The judges thanked the secretary .	The secretary thanked the judges .	non-entailment
889	889	The authors stopped the artists .	The artists stopped the authors .	non-entailment
890	890	The secretary supported the author .	The author supported the secretary .	non-entailment
891	891	The student introduced the author .	The author introduced the student .	non-entailment
892	892	The scientist advised the bankers .	The bankers advised the scientist .	non-entailment
893	893	The senator recognized the lawyer .	The lawyer recognized the senator .	non-entailment
894	894	The senator thanked the author .	The author thanked the senator .	non-entailment
895	895	The professors saw the banker .	The banker saw the professors .	non-entailment
896	896	The actor believed the tourists .	The tourists believed the actor .	non-entailment
897	897	The authors introduced the president .	The president introduced the authors .	non-entailment
898	898	The scientist admired the banker .	The banker admired the scientist .	non-entailment
899	899	The judge admired the lawyer .	The lawyer admired the judge .	non-entailment
900	900	The secretary encouraged the artist .	The artist encouraged the secretary .	non-entailment
901	901	The actors recognized the senator .	The senator recognized the actors .	non-entailment
902	902	The student admired the secretary .	The secretary admired the student .	non-entailment
903	903	The judges saw the scientists .	The scientists saw the judges .	non-entailment
904	904	The judge contacted the bankers .	The bankers contacted the judge .	non-entailment
905	905	The actors supported the doctor .	The doctor supported the actors .	non-entailment
906	906	The artist thanked the manager .	The manager thanked the artist .	non-entailment
907	907	The athletes believed the managers .	The managers believed the athletes .	non-entailment
908	908	The bankers mentioned the athletes .	The athletes mentioned the bankers .	non-entailment
909	909	The actor recommended the presidents .	The presidents recommended the actor .	non-entailment
910	910	The scientists admired the presidents .	The presidents admired the scientists .	non-entailment
911	911	The athletes called the senators .	The senators called the athletes .	non-entailment
912	912	The tourist admired the senators .	The senators admired the tourist .	non-entailment
913	913	The tourist avoided the presidents .	The presidents avoided the tourist .	non-entailment
914	914	The judge avoided the president .	The president avoided the judge .	non-entailment
915	915	The athlete recognized the president .	The president recognized the athlete .	non-entailment
916	916	The tourist called the students .	The students called the tourist .	non-entailment
917	917	The secretaries supported the president .	The president supported the secretaries .	non-entailment
918	918	The students recommended the author .	The author recommended the students .	non-entailment
919	919	The senator avoided the president .	The president avoided the senator .	non-entailment
920	920	The scientist admired the managers .	The managers admired the scientist .	non-entailment
921	921	The professor recommended the doctors .	The doctors recommended the professor .	non-entailment
922	922	The secretary recognized the athlete .	The athlete recognized the secretary .	non-entailment
923	923	The scientists stopped the manager .	The manager stopped the scientists .	non-entailment
924	924	The president recognized the student .	The student recognized the president .	non-entailment
925	925	The actor introduced the artist .	The artist introduced the actor .	non-entailment
926	926	The artist helped the tourists .	The tourists helped the artist .	non-entailment
927	927	The professor saw the lawyers .	The lawyers saw the professor .	non-entailment
928	928	The student advised the senators .	The senators advised the student .	non-entailment
929	929	The student thanked the senator .	The senator thanked the student .	non-entailment
930	930	The secretaries saw the author .	The author saw the secretaries .	non-entailment
931	931	The actor recognized the bankers .	The bankers recognized the actor .	non-entailment
932	932	The judge advised the banker .	The banker advised the judge .	non-entailment
933	933	The athlete recommended the secretary .	The secretary recommended the athlete .	non-entailment
934	934	The senator avoided the student .	The student avoided the senator .	non-entailment
935	935	The banker introduced the student .	The student introduced the banker .	non-entailment
936	936	The scientists admired the judges .	The judges admired the scientists .	non-entailment
937	937	The presidents admired the athletes .	The athletes admired the presidents .	non-entailment
938	938	The managers thanked the tourists .	The tourists thanked the managers .	non-entailment
939	939	The doctor admired the artists .	The artists admired the doctor .	non-entailment
940	940	The banker supported the tourists .	The tourists supported the banker .	non-entailment
941	941	The authors admired the scientists .	The scientists admired the authors .	non-entailment
942	942	The students mentioned the banker .	The banker mentioned the students .	non-entailment
943	943	The secretaries saw the lawyer .	The lawyer saw the secretaries .	non-entailment
944	944	The author admired the manager .	The manager admired the author .	non-entailment
945	945	The athletes recognized the students .	The students recognized the athletes .	non-entailment
946	946	The bankers contacted the students .	The students contacted the bankers .	non-entailment
947	947	The presidents avoided the secretary .	The secretary avoided the presidents .	non-entailment
948	948	The athletes stopped the senators .	The senators stopped the athletes .	non-entailment
949	949	The president helped the doctor .	The doctor helped the president .	non-entailment
950	950	The authors believed the tourist .	The tourist believed the authors .	non-entailment
951	951	The athletes encouraged the tourists .	The tourists encouraged the athletes .	non-entailment
952	952	The presidents stopped the senators .	The senators stopped the presidents .	non-entailment
953	953	The managers stopped the doctors .	The doctors stopped the managers .	non-entailment
954	954	The professor stopped the artist .	The artist stopped the professor .	non-entailment
955	955	The manager admired the athletes .	The athletes admired the manager .	non-entailment
956	956	The managers recognized the author .	The author recognized the managers .	non-entailment
957	957	The doctors encouraged the actors .	The actors encouraged the doctors .	non-entailment
958	958	The author admired the presidents .	The presidents admired the author .	non-entailment
959	959	The secretary recommended the author .	The author recommended the secretary .	non-entailment
960	960	The judges contacted the tourists .	The tourists contacted the judges .	non-entailment
961	961	The artists encouraged the secretaries .	The secretaries encouraged the artists .	non-entailment
962	962	The doctor helped the students .	The students helped the doctor .	non-entailment
963	963	The artists contacted the scientists .	The scientists contacted the artists .	non-entailment
964	964	The judges recommended the scientists .	The scientists recommended the judges .	non-entailment
965	965	The judge thanked the athlete .	The athlete thanked the judge .	non-entailment
966	966	The presidents recommended the professors .	The professors recommended the presidents .	non-entailment
967	967	The scientist recognized the author .	The author recognized the scientist .	non-entailment
968	968	The artists mentioned the senator .	The senator mentioned the artists .	non-entailment
969	969	The athlete called the tourists .	The tourists called the athlete .	non-entailment
970	970	The author helped the scientist .	The scientist helped the author .	non-entailment
971	971	The president recommended the managers .	The managers recommended the president .	non-entailment
972	972	The senator encouraged the scientists .	The scientists encouraged the senator .	non-entailment
973	973	The athletes helped the actor .	The actor helped the athletes .	non-entailment
974	974	The scientists advised the secretary .	The secretary advised the scientists .	non-entailment
975	975	The actor avoided the managers .	The managers avoided the actor .	non-entailment
976	976	The doctors introduced the artist .	The artist introduced the doctors .	non-entailment
977	977	The senators helped the authors .	The authors helped the senators .	non-entailment
978	978	The author supported the doctors .	The doctors supported the author .	non-entailment
979	979	The secretaries supported the scientists .	The scientists supported the secretaries .	non-entailment
980	980	The athlete contacted the senators .	The senators contacted the athlete .	non-entailment
981	981	The authors advised the athletes .	The athletes advised the authors .	non-entailment
982	982	The banker advised the manager .	The manager advised the banker .	non-entailment
983	983	The doctors believed the lawyers .	The lawyers believed the doctors .	non-entailment
984	984	The author mentioned the athletes .	The athletes mentioned the author .	non-entailment
985	985	The banker saw the actors .	The actors saw the banker .	non-entailment
986	986	The judge called the scientist .	The scientist called the judge .	non-entailment
987	987	The author introduced the professors .	The professors introduced the author .	non-entailment
988	988	The students mentioned the presidents .	The presidents mentioned the students .	non-entailment
989	989	The doctor saw the authors .	The authors saw the doctor .	non-entailment
990	990	The professors supported the actor .	The actor supported the professors .	non-entailment
991	991	The authors saw the presidents .	The presidents saw the authors .	non-entailment
992	992	The scientist advised the doctor .	The doctor advised the scientist .	non-entailment
993	993	The secretaries stopped the student .	The student stopped the secretaries .	non-entailment
994	994	The doctor thanked the lawyer .	The lawyer thanked the doctor .	non-entailment
995	995	The judge called the tourist .	The tourist called the judge .	non-entailment
996	996	The tourists stopped the banker .	The banker stopped the tourists .	non-entailment
997	997	The president encouraged the doctor .	The doctor encouraged the president .	non-entailment
998	998	The lawyer recommended the athlete .	The athlete recommended the lawyer .	non-entailment
999	999	The manager introduced the tourists .	The tourists introduced the manager .	non-entailment
1000	1000	The professors supported the tourists in front of the secretary .	The tourists supported the professors .	non-entailment
1001	1001	The senators supported the secretary in front of the doctor .	The doctor supported the senators .	non-entailment
1002	1002	The judges admired the senator behind the professor .	The senator admired the judges .	non-entailment
1003	1003	The professor supported the manager in front of the banker .	The banker supported the professor .	non-entailment
1004	1004	The judge in front of the manager saw the doctors .	The doctors saw the judge .	non-entailment
1005	1005	The president next to the professor stopped the doctor .	The professor stopped the president .	non-entailment
1006	1006	The judges by the tourists called the artists .	The artists called the judges .	non-entailment
1007	1007	The students by the judge helped the president .	The judge helped the students .	non-entailment
1008	1008	The scientists helped the senator behind the judge .	The judge helped the scientists .	non-entailment
1009	1009	The secretaries next to the lawyer advised the scientist .	The scientist advised the lawyer .	non-entailment
1010	1010	The senators behind the lawyer contacted the student .	The student contacted the senators .	non-entailment
1011	1011	The senators in front of the presidents introduced the athletes .	The presidents introduced the senators .	non-entailment
1012	1012	The judges helped the athletes near the president .	The athletes helped the president .	non-entailment
1013	1013	The author believed the lawyer next to the bankers .	The bankers believed the author .	non-entailment
1014	1014	The senator supported the artist near the presidents .	The artist supported the senator .	non-entailment
1015	1015	The secretary near the student supported the tourists .	The tourists supported the secretary .	non-entailment
1016	1016	The actors introduced the scientist by the senator .	The senator introduced the actors .	non-entailment
1017	1017	The presidents called the secretaries by the managers .	The managers called the presidents .	non-entailment
1018	1018	The judge by the manager contacted the senator .	The senator contacted the manager .	non-entailment
1019	1019	The bankers stopped the judge near the doctors .	The doctors stopped the bankers .	non-entailment
1020	1020	The authors introduced the lawyer near the judges .	The lawyer introduced the authors .	non-entailment
1021	1021	The senator avoided the bankers by the scientist .	The bankers avoided the scientist .	non-entailment
1022	1022	The presidents avoided the managers by the actor .	The managers avoided the actor .	non-entailment
1023	1023	The judges behind the managers stopped the actor .	The managers stopped the judges .	non-entailment
1024	1024	The students near the scientists saw the artists .	The scientists saw the students .	non-entailment
1025	1025	The tourist contacted the banker behind the students .	The banker contacted the students .	non-entailment
1026	1026	The lawyers behind the senator admired the doctor .	The doctor admired the senator .	non-entailment
1027	1027	The managers mentioned the judges next to the tourist .	The tourist mentioned the managers .	non-entailment
1028	1028	The judge behind the presidents mentioned the artists .	The artists mentioned the presidents .	non-entailment
1029	1029	The judges behind the lawyers called the actor .	The actor called the lawyers .	non-entailment
1030	1030	The tourist next to the lawyer stopped the professors .	The lawyer stopped the tourist .	non-entailment
1031	1031	The athlete in front of the judges mentioned the student .	The judges mentioned the athlete .	non-entailment
1032	1032	The judge advised the professor in front of the scientist .	The scientist advised the judge .	non-entailment
1033	1033	The senators recognized the managers near the doctors .	The managers recognized the senators .	non-entailment
1034	1034	The author avoided the athletes next to the professor .	The professor avoided the author .	non-entailment
1035	1035	The lawyers mentioned the doctors near the actor .	The doctors mentioned the lawyers .	non-entailment
1036	1036	The senators saw the artist near the judge .	The artist saw the senators .	non-entailment
1037	1037	The tourists helped the judge near the students .	The judge helped the tourists .	non-entailment
1038	1038	The presidents stopped the student by the professors .	The student stopped the presidents .	non-entailment
1039	1039	The senator by the banker encouraged the author .	The author encouraged the banker .	non-entailment
1040	1040	The bankers recommended the actors by the presidents .	The presidents recommended the bankers .	non-entailment
1041	1041	The lawyers in front of the judge avoided the tourists .	The tourists avoided the lawyers .	non-entailment
1042	1042	The artists next to the lawyers supported the student .	The lawyers supported the artists .	non-entailment
1043	1043	The artists avoided the students near the presidents .	The students avoided the presidents .	non-entailment
